number,value,datetime_start,datetime_complete,duration,params_V10,params_V11,params_V12,params_V15,params_V18,params_V3,params_V6,params_V9,system_attrs_fixed_params,state
15,0.0,2026-07-08 12:17:05.563319,2026-07-08 12:17:11.576042,0 days 00:00:06.012723,142.3773913698596,-34.806740935876775,329.1670101932931,79.44295520400394,-285.0921227897236,-348.05523038893017,-12.555175913124568,631.276922059118,,COMPLETE
16,0.0,2026-07-08 12:17:11.612790,2026-07-08 12:17:16.820830,0 days 00:00:05.208040,994.374310739091,941.0487978541008,-605.8046686761137,-68.50578245657405,-98.7532190025003,-72.96837935409665,178.16681279241024,667.200112042563,,COMPLETE
17,0.0,2026-07-08 12:17:16.848547,2026-07-08 12:17:21.718394,0 days 00:00:04.869847,-151.38613187133774,-997.4636693877591,-274.1536671706173,215.8807752886671,-366.59123956706645,363.43414445495097,310.8610374370737,-90.93281931703729,,COMPLETE
18,0.0,2026-07-08 12:17:21.748567,2026-07-08 12:17:27.796552,0 days 00:00:06.047985,644.3508394621743,482.1395616618594,171.81226937312948,-217.36454306864186,253.47780089970115,-124.64824924249437,-348.3161525719908,273.1732681980858,,COMPLETE
19,0.0,2026-07-08 12:17:27.831072,2026-07-08 12:17:33.780128,0 days 00:00:05.949056,-819.6915688401323,23.676769055752175,-496.2162626057871,16.275350666135267,-193.10238241305973,-156.10254782163193,-119.85783591776722,769.2349071853015,,COMPLETE
20,0.0,2026-07-08 12:17:33.809369,2026-07-08 12:17:39.826785,0 days 00:00:06.017416,323.3738195784764,808.4710396775672,-743.8741372589956,199.70430941190915,-0.9989747599376528,-364.7165750562826,109.13276096891099,208.17166434043702,,COMPLETE
21,0.0,2026-07-08 12:17:39.853012,2026-07-08 12:17:45.723329,0 days 00:00:05.870317,77.02636524156503,770.2133957412876,569.0534215706066,375.910688719292,-146.6656157946773,14.372945518848423,-474.9372487995368,838.0241682738584,,COMPLETE
22,0.0,2026-07-08 12:17:45.774513,2026-07-08 12:17:51.044742,0 days 00:00:05.270229,242.20998581089268,769.8047787780497,421.33642376463456,-122.8003533254892,-31.168651314077735,-166.51660133515588,-348.4377890138987,996.566081016755,,COMPLETE
23,0.0,2026-07-08 12:17:51.073330,2026-07-08 12:17:56.494275,0 days 00:00:05.420945,-24.063010679825766,405.7363253168127,932.7391001066587,473.35520056451134,150.73453317314863,66.28948717971306,-59.624376666320735,604.6536132689957,,COMPLETE
24,0.0,2026-07-08 12:17:56.521181,2026-07-08 12:18:01.866425,0 days 00:00:05.345244,547.2724933589483,658.7763078004983,-118.3970341717653,-305.4732315195645,-234.7092280609565,-88.48764207029797,-162.0565651865614,404.60400832684024,,COMPLETE
25,0.0,2026-07-08 12:18:01.896715,2026-07-08 12:18:07.309679,0 days 00:00:05.412964,-522.4483897058872,891.8289593360034,306.8845303028696,301.0635846627556,-381.75740962847857,-336.260901878886,-363.6702833242849,937.1765200065927,,COMPLETE
26,0.0,2026-07-08 12:18:07.340505,2026-07-08 12:18:12.769817,0 days 00:00:05.429312,-417.66625919598516,83.42435088025962,-391.35417407451723,-499.27227223025136,43.38664040152876,297.1908846261892,300.33131351681436,752.2148104042329,,COMPLETE
27,0.0,2026-07-08 12:18:12.796956,2026-07-08 12:18:18.338314,0 days 00:00:05.541358,242.72132451751952,633.4726227015035,724.9427014695208,160.57694735570365,-117.81929127979305,136.28086214050376,468.82454625118226,559.2976760123942,,COMPLETE
28,0.0,2026-07-08 12:18:18.369674,2026-07-08 12:18:23.349288,0 days 00:00:04.979614,781.5349536645037,418.10154742701627,-826.7867889812392,12.862215073515337,168.72096233828108,-48.11196960607798,75.9477019454976,-89.05817798986004,,COMPLETE
29,0.0,2026-07-08 12:18:23.377616,2026-07-08 12:18:28.396533,0 days 00:00:05.018917,-74.3739930742372,724.230630989367,678.5894517428179,-161.28954803521938,-432.0149676362359,-187.16927696045607,-31.734247848895443,368.87476115287654,,COMPLETE
30,0.0,2026-07-08 12:18:28.427754,2026-07-08 12:18:33.479445,0 days 00:00:05.051691,-303.9451966669776,989.6406246290212,191.0979812267828,286.08918012615686,-258.2544548648324,5.444374022062898,-284.58489118981277,93.14930675823837,,COMPLETE
31,0.0,2026-07-08 12:18:33.503576,2026-07-08 12:18:38.846871,0 days 00:00:05.343295,-305.68287452960874,-195.76788911352233,515.4795830088702,350.46836991829343,430.28481326985,207.08555810439344,150.02626035733667,-586.6250033587867,,COMPLETE
32,0.0,2026-07-08 12:18:38.873261,2026-07-08 12:18:44.333663,0 days 00:00:05.460402,-277.5630242012395,-669.3409442830732,822.4004984788531,410.15820844287504,81.95688223312968,280.64321589292194,244.17199578860337,-384.8285808827602,,COMPLETE
33,0.0,2026-07-08 12:18:44.372605,2026-07-08 12:18:49.948719,0 days 00:00:05.576114,-633.3116385693962,-964.9429397951586,571.2876857152725,150.08590263527407,227.0581748379518,148.87883412994142,35.25430532043184,-610.7010025361843,,COMPLETE
34,0.0,2026-07-08 12:18:50.123272,2026-07-08 12:18:55.158438,0 days 00:00:05.035166,-121.84341437688067,-473.27736053705803,-103.25335541385527,-18.28743824380649,-58.60674267291432,218.9265019018731,411.11390409834183,-931.1148871572715,,COMPLETE
35,0.0,2026-07-08 12:18:55.185468,2026-07-08 12:19:00.586583,0 days 00:00:05.401115,565.6626997114779,-306.55812693522347,107.86219209303312,267.364464844793,11.203530660324928,387.3697149870136,122.10279259436044,-204.04705537860906,,COMPLETE
36,0.0,2026-07-08 12:19:00.619615,2026-07-08 12:19:05.779347,0 days 00:00:05.159732,190.64624611121724,-836.7749915261471,725.7107547207238,436.93703401795113,115.40833097964673,119.68562925566374,-429.7521914857886,752.1062871025459,,COMPLETE
37,0.0,2026-07-08 12:19:05.814044,2026-07-08 12:19:11.741601,0 days 00:00:05.927557,-23.968225163662453,-553.0682948117292,-67.22641279665106,-292.96726154827087,193.10427312339374,68.86041802905862,-172.15817021722773,-813.8382789489405,,COMPLETE
38,0.0,2026-07-08 12:19:11.779027,2026-07-08 12:19:17.199794,0 days 00:00:05.420767,347.24809434648114,874.064316594853,377.97481003906853,490.8194864253251,319.8065580289137,17.34382571823789,12.435915110816552,60.837828841954945,,COMPLETE
39,0.0,2026-07-08 12:19:17.242638,2026-07-08 12:19:22.616549,0 days 00:00:05.373911,59.8131612980298,340.5933509542515,248.31658085284093,-148.79779473203575,47.1029331914658,497.01917367221205,384.014228161804,309.59893549653975,,COMPLETE
40,0.0,2026-07-08 12:19:22.663708,2026-07-08 12:19:27.654019,0 days 00:00:04.990311,449.9634744355476,93.47698061833285,38.174947589681665,120.31455848400535,-93.10837259076023,-20.79327514448106,-112.07438846358323,176.6314790525867,,COMPLETE
41,0.0,2026-07-08 12:19:27.687206,2026-07-08 12:19:32.954122,0 days 00:00:05.266916,-672.1005911916799,625.6449631218373,-200.61562084396667,330.53894472594163,377.92844403427824,176.54949935507452,248.33041307481756,-510.56059608788644,,COMPLETE
42,0.0,2026-07-08 12:19:32.986519,2026-07-08 12:19:38.304576,0 days 00:00:05.318057,-180.7560542128167,574.6802700594764,-402.42635537918454,397.2885643489138,425.0932579628711,247.74860723764675,66.48724448475402,-747.9035633005112,,COMPLETE
43,0.0,2026-07-08 12:19:38.328040,2026-07-08 12:19:43.682202,0 days 00:00:05.354162,93.77578546209467,170.597647305485,453.7529094138499,445.57730530730004,-311.1683515462843,360.18431549291404,-63.42929572202554,-386.89554169477134,,COMPLETE
44,0.0,2026-07-08 12:19:43.725705,2026-07-08 12:19:48.462531,0 days 00:00:04.736826,812.3935327927816,836.5824439076969,-327.40224143988627,232.1151959539294,-210.11776811471753,-227.57895907013125,198.86435631444667,-268.3403751157735,,COMPLETE
45,0.0,2026-07-08 12:19:48.505520,2026-07-08 12:19:53.302986,0 days 00:00:04.797466,-229.782613710497,-71.09323699941108,-528.1916551363227,-84.9108758776584,291.2916027572228,98.64698571602001,-203.86015747362126,-92.23992219191135,,COMPLETE
46,0.0,2026-07-08 12:19:53.323322,2026-07-08 12:19:58.149824,0 days 00:00:04.826502,-386.22240652883636,682.3155699263759,83.21673308847545,53.68228716486338,122.85598699371855,-457.35068634389796,-3.2341499420597164,-755.8340980848161,,COMPLETE
47,0.0,2026-07-08 12:19:58.171398,2026-07-08 12:20:03.099907,0 days 00:00:04.928509,-37.81679550560716,525.8795009577758,-858.2106618731584,-34.08482891393044,-148.68641225394867,-294.06241471562043,100.40368664193963,-17.19325415832418,,COMPLETE
48,0.0,2026-07-08 12:20:03.131606,2026-07-08 12:20:08.227784,0 days 00:00:05.096178,907.7962368020134,952.4086709425729,-26.574600125706965,327.61578239496384,-451.52050426684286,-112.79033070910623,165.26619379093694,538.8219725974104,,COMPLETE
49,0.0,2026-07-08 12:20:08.260344,2026-07-08 12:20:13.377495,0 days 00:00:05.117151,704.8344069519987,449.39965434384754,995.2164796638317,-367.1415707065502,-35.11987425814726,287.7306704637544,30.82279226714013,-468.9407491896673,,COMPLETE
50,0.0,2026-07-08 12:20:13.403487,2026-07-08 12:20:18.424293,0 days 00:00:05.020806,-514.2093095306652,-182.78544000217437,-147.32466359415028,247.8158325410576,373.6714068359808,430.2565205867292,-422.1244793161827,857.2743314419123,,COMPLETE
51,0.0,2026-07-08 12:20:18.451228,2026-07-08 12:20:23.360711,0 days 00:00:04.909483,959.0460651449753,-674.9768431948993,-923.0540063186196,-397.5084936552666,87.93791553638468,329.27287651092894,-488.8706509201403,473.4858291683839,,COMPLETE
52,0.0,2026-07-08 12:20:23.394853,2026-07-08 12:20:28.692130,0 days 00:00:05.297277,791.308639919914,-755.0146510468817,-679.4433645076732,-259.23740095883403,465.6046238012975,193.42103548319164,-452.73560017250986,156.41429782126323,,COMPLETE
53,0.0,2026-07-08 12:20:28.720950,2026-07-08 12:20:34.634367,0 days 00:00:05.913417,624.8891420467432,-574.7799147540686,-510.05344914595116,-359.78681264164766,30.59396094510685,238.42472092185136,-253.33501127115738,362.3929515173718,,COMPLETE
54,0.0,2026-07-08 12:20:34.663042,2026-07-08 12:20:39.828096,0 days 00:00:05.165054,395.1355157546785,-877.7424738393152,-309.7237535768663,186.6671831388184,225.47246124470047,83.796818468528,-399.81988477228487,280.65952646173525,,COMPLETE
55,0.0,2026-07-08 12:20:39.870238,2026-07-08 12:20:45.066047,0 days 00:00:05.195809,544.512951390897,-367.8410361947919,-586.7929093128137,-206.59818699975028,-68.89926948658504,177.15905314537898,-95.6333776948174,684.1062163251048,,COMPLETE
56,0.0,2026-07-08 12:20:45.096592,2026-07-08 12:20:50.100807,0 days 00:00:05.004215,279.7443322310494,893.409865015041,-985.437115309855,-439.4162807933491,-12.95068828014712,44.78076444786666,-331.09633853351,-286.09640478011164,,COMPLETE
57,0.0,2026-07-08 12:20:50.141502,2026-07-08 12:20:55.252049,0 days 00:00:05.110547,158.7032191866126,271.84390650205836,-739.1896418982387,370.6909188083385,-321.6147565082607,-379.0098710011288,-29.333009104753824,-169.59452988424175,,COMPLETE
58,0.0,2026-07-08 12:20:55.288034,2026-07-08 12:21:00.349498,0 days 00:00:05.061464,852.8983889655177,766.8681118167141,626.2258652158841,454.1830598836689,-155.23892548621495,148.69545408099776,-285.38050666337966,513.1058636635606,,COMPLETE
59,0.0,2026-07-08 12:21:00.392124,2026-07-08 12:21:05.431800,0 days 00:00:05.039676,742.7459695986496,-806.6427965456912,786.5232999021965,494.2589695638028,124.53378556064925,-71.20823920632952,-152.08252643877398,933.1545074439962,,COMPLETE
60,0.0,2026-07-08 12:21:05.500678,2026-07-08 12:21:10.614772,0 days 00:00:05.114094,-929.3308395510808,361.19053029960844,303.51465115507506,404.16462274219305,-110.4061179315323,-212.3027180131532,249.2921647708008,7.249625796327479,,COMPLETE
61,0.0,2026-07-08 12:21:10.648532,2026-07-08 12:21:17.089454,0 days 00:00:06.440922,665.7483679758838,-419.8629784489659,-191.74420577121435,-38.11325637463722,-32.55467729990126,37.22414301347647,498.38878225476924,830.4850354364304,,COMPLETE
62,0.0,2026-07-08 12:21:17.120829,2026-07-08 12:21:23.465301,0 days 00:00:06.344472,503.8299053617503,-926.3487983636123,199.5998821712772,27.154002574660993,489.92762457005847,-21.39591391636802,365.4992362221832,999.5121380859518,,COMPLETE
63,0.0,2026-07-08 12:21:23.495545,2026-07-08 12:21:28.961789,0 days 00:00:05.466244,942.230110670828,-589.9661419127475,14.233673508820791,-112.39906821677519,60.39879152460415,-137.65240639328414,-384.57667615658715,719.8667953530261,,COMPLETE
