V3,V6,V9,V10,V11,V12,V15,V18,distance_mm,hits,n_recorded,phase
-121.75456483424807,-74.38995609381641,998.4993982155488,269.46637797947216,287.37549712784056,-131.6000410589345,83.108208527452,-471.77823923458527,264.48945320101416,12,500,initial
129.60685037147869,673.6437790364907,490.4417456036524,32.54980707173627,383.5455592536057,-711.8837229630399,230.57553185128427,-698.934159983158,314.7193442456328,0,500,initial
-413.43808992726565,-943.6602915737653,880.2271535760636,924.230843743952,410.5542878309567,-543.4760539538831,-233.69503028753934,553.8505636650129,330.15134883042214,0,500,initial
945.6059941289325,-721.5747883931411,846.7471738645611,207.88935712740286,295.1165219140934,-269.6917384067316,716.9152226938447,573.0338564069757,421.97568694912434,0,500,initial
-365.4242565991967,-596.9374515424448,609.146046211959,40.50416366917575,280.29588689863715,-34.057903447444914,-785.23002515299,688.1409613811661,323.76187449594306,0,500,initial
-316.76063135442087,86.18781906801723,254.12143324081293,438.4909031164608,812.0171715518574,-116.70371711524183,-217.5876595428192,816.7145470483979,328.13733651968045,0,500,initial
-389.55346919894635,332.5806569471995,174.21844879461003,913.281484414695,922.0111062296131,-913.6001526783791,275.10430527529616,378.60943777170087,328.03753273681133,0,500,initial
984.558408750265,188.2068103693489,851.5480783974494,334.4627622912378,667.7908442322705,-53.088723971443756,283.44336528538133,278.17373769501796,420.9306586615411,0,500,initial
-812.7608945476752,844.129102358482,825.0078558516526,832.4867531576382,484.41225199182014,-406.5260805123023,-353.08823951124293,-291.68240667465216,323.1359203604938,0,500,initial
-988.8305991999862,112.82503959257178,233.45376098834026,662.8506426927007,809.4498445379586,-256.934793773876,446.71490753197963,778.7284404042448,322.15008516529264,0,500,initial
419.58212239612067,-311.5937273490912,7.217784451195598,570.2684848751651,74.64436519612573,-956.8842034832473,930.8779697465761,-939.9249608351281,339.64694658331337,0,500,initial
156.88922651507437,844.4614262761579,552.1274609354651,30.523852549789382,44.80609847438018,-704.8321065786192,46.819298514731145,-679.0073204137808,307.7964398526265,0,500,initial
169.55760654229584,558.1289908681274,547.3070172445131,215.30308826754725,519.4680316788591,-706.8020830415294,30.486574413695052,-323.5474918478801,323.6282002289296,0,500,initial
68.02511856503088,-226.51451545150292,996.1962604028546,176.60783482850763,230.3904832917301,-573.1437047289184,-648.6111361845735,-370.57198065168245,298.6573025812947,1,500,initial
-69.14564572720042,-253.93063196768708,989.5830749365587,223.9528667081958,190.39158891481804,-498.48065960824374,-901.1599641019052,-81.29435409959797,294.6186825134967,3,500,initial
533.4473019310972,-218.25147200623633,999.0146071412393,386.40179232016857,157.8205570176537,-230.05018377214424,-981.126298551437,22.056548805653847,444.89670355992916,0,500,initial
-214.83564013983528,-428.91767978134897,721.7914402908685,528.8526593761443,152.9707862552719,-423.6118133923194,-457.4246614234505,67.83853672540954,329.07725642056914,0,500,initial
-108.76022337112045,-127.09674040181392,700.7139404589934,305.61703236512164,638.1611220989919,-395.4950878522925,598.4440731849477,-108.48923046298091,333.62549597261426,0,500,initial
-597.0241104044409,-76.92409606907574,956.2134660309421,143.96416327488015,370.1281497874416,-164.929040469004,-700.3857919730499,-529.5853440349081,277.36593140084995,0,500,initial
364.85465821522416,-546.6086847471361,737.1742050851043,466.9059481596493,17.81384714350949,-835.1748970820045,-894.6192494723736,-924.063415232114,322.0238556344089,0,500,initial
-85.64798694902584,401.7373640041458,407.45955447059225,287.0097653667223,211.43135440027785,-534.1874704434028,-52.06140165173224,-161.88112141547379,326.72704416473516,0,500,initial
-28.041327139746386,-69.71397842624526,950.1001055604434,155.9897764785581,276.5288210976154,-554.6931783014909,-526.9995279589024,-482.2593611971246,296.24744974460083,2,500,initial
-598.8501956588782,-32.560577732130696,916.2828033097743,119.21556876872714,125.1116012428914,-338.90562603152046,-517.7294805089773,-533.528722563779,73.37009849310692,1,500,initial
-35.329842780791296,-440.36424970146936,782.465648539859,236.9861330845797,326.72136366929095,-618.2447178386456,-611.0877908276168,103.28965161219685,325.2495655045541,0,500,initial
710.5663068149843,269.6040079461609,921.4695818714057,111.83304631752677,439.12150127214954,-489.934500689195,-828.482589647751,-494.15853989161195,416.74811507921527,0,500,initial
342.84797542757315,12.845334603249285,922.6891726158213,353.20198769012393,559.8288565544652,-779.4560491832176,-344.3297379337,-132.10286651876584,323.29784870140725,0,500,initial
-626.379059351168,-351.76295747315385,792.7480833726403,251.5613873006341,245.0777645402497,-616.59367797392,-970.387788128551,-725.2236915925747,294.36133435173736,0,500,initial
-177.78785666796966,-748.1121426446167,978.9377062737692,410.7576781154976,189.90929739378987,-331.5099563088187,-140.44803894531162,977.3283820336774,329.85509127237856,0,500,initial
22.136548619682685,-132.308146604174,671.8666186803812,94.6037308527647,332.07932512071886,-474.1509820143018,-527.7962410571917,237.16381520049708,307.61513503208226,0,500,initial
243.7050492037515,509.0250011740952,882.9830208827335,20.287713567557233,114.07220660590599,-181.96465904657862,157.9224253288312,-730.1809961676614,315.71732167370254,0,500,initial
-501.1295842396546,206.87035830665286,786.683653863849,636.6824639369972,380.4685098893973,-636.5001008715014,-750.3815791702467,-431.8826247268705,323.77228949640994,0,500,initial
31.78045695103242,-283.19735445344145,999.6120236912708,176.11300734091446,234.9924314266504,-573.8239694747859,-653.0698417783516,-310.5748946762478,302.0075555495389,1,500,initial
-249.7363867627471,-193.5762780076003,934.450027943712,175.382702516422,261.6729535853284,-471.93197103295563,-427.8078464214366,-651.20093129,272.9277191883685,4,500,initial
-243.91262198836114,-977.2592452931124,892.8686451786526,294.1859440526395,286.7343950915581,-476.89667563743853,-294.4544130654574,-664.499781095715,312.4797699656151,2,500,initial
-143.13450134354355,26.814368686533044,852.0781446536873,93.54829445945488,437.35464746583847,-325.08801482879664,-453.3746100768051,-609.9281222403459,313.31696337606616,0,500,initial
-470.56829801480694,-709.7687023975361,936.3030869915817,242.19026198371512,312.5248711545633,-780.3275255891747,-152.2970412383977,-862.3388614039864,320.84480977718886,0,500,initial
-247.43793867863474,-536.8037596784131,874.5803120321915,175.63362610800579,85.03584694793139,-87.932040060659,-844.0030706811626,-221.86283574042352,316.9420691852936,0,500,initial
-291.3568376285655,-168.90524697000114,820.6480075274252,57.08779905386217,368.4152785704346,-670.8383178620925,488.80899953312064,-814.5790262615526,322.535630187656,0,500,initial
227.21205095807727,137.7209380079189,941.8279243236154,364.7447174519588,266.95165017109474,-500.47264915726714,-401.47462494557954,-26.33653477642065,313.71400157605876,0,500,initial
-348.0057751063998,-350.4245037369574,749.5914191218772,454.9762176582209,180.3323621874191,-385.17893216098787,-554.2097260489058,-436.1714494307239,325.28031328233527,0,500,initial
